Date,Employee_Name,KPI_code,region,product_name,Số KPI
2024-05-18,Bảo Thế Nguyễn,8UIFF,miền Trung,đèn LED tròn,270
2024-05-19,Cô Nhật Mai,YQ8PA7,miền Trung,đèn bàn học,848
2024-03-19,Quang Bảo Dương,70FD0,miền Trung,đèn LED tròn,819
2024-08-12,Tùng Trí Trần,2Z8DK,miền Nam,đèn LED tròn,853
2024-01-15,Hưng Văn Hoàng,6JTBDQ,miền Nam,đèn LED âm trần,656
2024-05-07,Phúc Hoàng,BGHOV,miền Trung,đèn cảm ứng,237
2025-02-14,Tùng Lê,2S22Q,miền Nam,đèn bàn học,627
2024-06-26,Anh Huy Trần,5LAQ97,miền Bắc,đèn bàn học,779
2024-07-15,Chị Nhật Trần,FJQ54,miền Bắc,đèn LED âm trần,26
2024-01-11,Tú Mai Bảo Bùi,FI39QO,miền Trung,đèn LED âm trần,987
2024-02-20,Kim Hoàng,1X3IL,miền Nam,đèn LED tròn,354
2024-08-05,Phúc Quang Phạm,7SNTG,miền Nam,đèn cảm ứng,348
2024-12-27,Khoa Hoàng Đặng,FALTX2,miền Bắc,đèn LED âm trần,510
2025-02-17,Ông Trung Đặng,XW4BPI,miền Trung,đèn LED tròn,772
2024-07-25,Anh Minh Vũ,2QW8IB,miền Bắc,đèn LED âm trần,426
2024-10-09,Dũng Tấn Phạm,J51F8D,miền Bắc,đèn LED âm trần,241
2025-02-06,Hà Hải Đặng,B727O,miền Bắc,đèn cảm ứng,877
2024-12-22,Nhật Phạm,P2TB7,miền Trung,đèn LED tròn,199
2024-05-04,Ông Hưng Hoàng,O3CP8G,miền Trung,đèn LED âm trần,639
2024-05-03,Trọng Quang Lê,3CSRF,miền Nam,đèn LED âm trần,966
2025-01-21,Trung Vũ,6VT1K,miền Nam,đèn bàn học,721
2024-04-19,Bà Thành Nguyễn,6O91LJ,miền Trung,đèn LED âm trần,579
2024-10-08,Ông Minh Vũ,8K0PS,miền Nam,đèn LED tròn,938
2024-11-26,Quang Bùi,W3IE9,miền Trung,đèn LED tròn,849
2024-06-10,Trung Hoàng Vũ,FYOGA,miền Bắc,đèn bàn học,355
2024-11-07,Anh Châu Đặng,ECKAT,miền Bắc,đèn LED âm trần,612
2024-11-11,Quý cô Hải Mai,PBFGC0,miền Bắc,đèn LED âm trần,602
2024-09-21,Ngọc Dương,S0IKX2,miền Bắc,đèn cảm ứng,226
2024-09-01,Anh Khoa Đặng,T6SLP,miền Bắc,đèn cảm ứng,717
2024-02-14,Anh Nam Dương,H137J,miền Bắc,đèn bàn học,943
2024-06-29,Quý cô Nhật Dương,WOZPC,miền Bắc,đèn cảm ứng,288
2024-07-15,Tùng Bùi,WLEQ8C,miền Bắc,đèn bàn học,511
2024-05-27,Quý ông Khoa Bùi,L0IUQ1,miền Nam,đèn cảm ứng,962
2024-11-01,Nam Phú Vũ,GGH3N,miền Bắc,đèn cảm ứng,180
2025-02-08,Nhật Đặng,O2CI0,miền Trung,đèn LED âm trần,559
2025-02-17,Minh Dương,H8ABOM,miền Bắc,đèn LED tròn,150
2024-04-27,Vân Trần,GEAVB,miền Nam,đèn cảm ứng,253
2024-09-04,Kim Văn Phạm,D7NXO,miền Nam,đèn LED tròn,30
2024-10-16,Chị Ánh Hoàng,2M9LBL,miền Trung,đèn bàn học,821
2024-12-09,Cô Lan Vũ,27S3GJ,miền Nam,đèn LED tròn,989
2024-12-01,Nhật Hoàng,AS355U,miền Trung,đèn cảm ứng,696
2024-05-24,Hưng Nguyễn,PJRJY,miền Trung,đèn LED tròn,239
2024-06-14,Hải Mai Vũ,9VM8GN,miền Bắc,đèn LED tròn,346
2025-01-12,Mai Mai,ESMO2N,miền Bắc,đèn LED âm trần,15
2024-07-24,Lâm Mai,QQWLVS,miền Trung,đèn LED âm trần,891
2024-03-17,Chị Kim Đặng,1S2RC1,miền Bắc,đèn LED tròn,691
2024-02-25,Trung Quang Nguyễn,4GU19,miền Nam,đèn LED tròn,946
2024-02-03,Quý cô Xuân Nguyễn,5C4S4,miền Bắc,đèn LED âm trần,21
2024-02-18,Quý cô Linh Vũ,ETXWHE,miền Trung,đèn LED tròn,250
2024-05-16,Hạnh Đặng,3OR7MV,miền Nam,đèn cảm ứng,217
2024-10-10,Chị Thảo Đặng,16Q5U,miền Bắc,đèn LED tròn,481
2025-03-06,Chi Dương,1SXNRT,miền Bắc,đèn LED âm trần,374
2024-01-26,Quý ông Quang Dương,OCR1V8,miền Trung,đèn LED tròn,66
2024-12-18,Bác Minh Lê,L252H6,miền Bắc,đèn cảm ứng,532
2025-03-14,Phương Hoàng,GE10UW,miền Trung,đèn bàn học,772
2025-01-06,Hoàng Hoàng,ZUZNM,miền Nam,đèn LED tròn,758
2024-11-23,Phương Mai Dương,WCZMJ,miền Trung,đèn bàn học,677
2024-01-21,Chị Lâm Phạm,8P6KA,miền Trung,đèn LED tròn,184
2024-02-06,Lâm Lê,BMFGVB,miền Trung,đèn LED tròn,346
2024-05-18,Huy Bùi,YGLF5B,miền Nam,đèn bàn học,864
2025-01-07,Chị Hồng Nguyễn,PD7OA,miền Trung,đèn LED âm trần,972
2024-11-16,Chị Mai Phạm,DBJLPV,miền Trung,đèn LED tròn,153
2024-08-24,Chị Hải Phạm,NVM6RA,miền Nam,đèn bàn học,696
2024-08-06,Anh Nhiên Phạm,7AO9M,miền Bắc,đèn LED tròn,194
2024-11-24,Nhật Hoàng,G26YS,miền Bắc,đèn bàn học,273
2024-08-30,Thành Lê,4ZWI1,miền Bắc,đèn cảm ứng,177
2024-02-15,Khoa Lê,Z2X26H,miền Nam,đèn cảm ứng,340
2024-06-25,An Thị Mai,6H70P,miền Bắc,đèn LED âm trần,71
2024-11-25,Chị Hải Lê,3JJD81,miền Trung,đèn LED âm trần,927
2024-06-07,Bà Hạnh Hoàng,AZ6XZT,miền Bắc,đèn LED tròn,551
2024-12-08,Quý cô Hải Mai,YRT601,miền Trung,đèn bàn học,700
2024-10-29,Bác Huy Hoàng,8VWM3G,miền Trung,đèn LED tròn,567
2025-02-15,Mai Đặng,6PUZ3,miền Bắc,đèn bàn học,383
2024-03-01,Anh Phú Mai,GRV16Y,miền Nam,đèn LED tròn,900
2024-01-21,Cô Bảo Trần,DK0NEV,miền Nam,đèn cảm ứng,708
2025-03-31,Chị Chi Nguyễn,H6R9PL,miền Nam,đèn LED âm trần,888
2024-05-18,Hà Xuân Hoàng,RUHIX,miền Bắc,đèn LED âm trần,667
