Date,Employee_Name,Department,item_code,product_name,Số lượng
2024-05-18,Bảo Thế Nguyễn,phòng kinh doanh,BEMYA0,đèn LED tròn,35
2024-05-19,Cô Nhật Mai,phòng nhân sự,T1L0SM,đèn bàn học,33
2024-03-19,Quang Bảo Dương,phòng kinh doanh,UVOBI,đèn LED tròn,21
2024-08-12,Tùng Trí Trần,phòng R&D,8XWYH,đèn LED tròn,95
2024-01-15,Hưng Văn Hoàng,phòng R&D,1GSMF,đèn LED âm trần,88
2024-05-07,Phúc Hoàng,phòng kinh doanh,K2VOB,đèn cảm ứng,36
2025-02-14,Tùng Lê,phòng R&D,1W1MPM,đèn bàn học,18
2024-06-26,Anh Huy Trần,phòng kỹ thuật,KUKR7,đèn bàn học,60
2024-07-15,Chị Nhật Trần,phòng R&D,5BK3MX,đèn LED âm trần,12
2024-01-11,Tú Mai Bảo Bùi,phòng kỹ thuật,1KA6M9,đèn LED âm trần,24
2024-02-20,Kim Hoàng,phòng kinh doanh,TNHNYB,đèn LED tròn,42
2024-08-05,Phúc Quang Phạm,phòng nhân sự,4ES1XW,đèn cảm ứng,32
2024-12-27,Khoa Hoàng Đặng,phòng kỹ thuật,71SK5,đèn LED âm trần,91
2025-02-17,Ông Trung Đặng,phòng R&D,U2PCI,đèn LED tròn,3
2024-07-25,Anh Minh Vũ,phòng R&D,M2FTGQ,đèn LED âm trần,25
2024-10-09,Dũng Tấn Phạm,phòng kinh doanh,5ORV2J,đèn LED âm trần,32
2025-02-06,Hà Hải Đặng,phòng kinh doanh,MGNPNY,đèn cảm ứng,4
2024-12-22,Nhật Phạm,phòng kinh doanh,ITMBGO,đèn LED tròn,62
2024-05-04,Ông Hưng Hoàng,phòng kỹ thuật,5Y208,đèn LED âm trần,41
2024-05-03,Trọng Quang Lê,phòng nhân sự,AYIU75,đèn LED âm trần,89
2025-01-21,Trung Vũ,phòng kinh doanh,AODCM,đèn bàn học,88
2024-04-19,Bà Thành Nguyễn,phòng R&D,ID94X,đèn LED âm trần,11
2024-10-08,Ông Minh Vũ,phòng nhân sự,I6CB7,đèn LED tròn,60
2024-11-26,Quang Bùi,phòng kỹ thuật,9J2A7,đèn LED tròn,69
2024-06-10,Trung Hoàng Vũ,phòng nhân sự,U3PW4N,đèn bàn học,63
2024-11-07,Anh Châu Đặng,phòng kinh doanh,Z60VX,đèn LED âm trần,23
2024-11-11,Quý cô Hải Mai,phòng kỹ thuật,6GFJRH,đèn LED âm trần,75
2024-09-21,Ngọc Dương,phòng R&D,FM9H7E,đèn cảm ứng,40
2024-09-01,Anh Khoa Đặng,phòng R&D,67W3W,đèn cảm ứng,94
2024-02-14,Anh Nam Dương,phòng nhân sự,CXXHD3,đèn bàn học,72
2024-06-29,Quý cô Nhật Dương,phòng kỹ thuật,8UE6T,đèn cảm ứng,42
2024-07-15,Tùng Bùi,phòng kỹ thuật,I8L5G9,đèn bàn học,48
2024-05-27,Quý ông Khoa Bùi,phòng kinh doanh,YB5KU0,đèn cảm ứng,98
2024-11-01,Nam Phú Vũ,phòng kỹ thuật,QIOWM,đèn cảm ứng,57
2025-02-08,Nhật Đặng,phòng kỹ thuật,GR17PL,đèn LED âm trần,12
2025-02-17,Minh Dương,phòng kinh doanh,QXHDX,đèn LED tròn,49
2024-04-27,Vân Trần,phòng R&D,CPSJEI,đèn cảm ứng,1
2024-09-04,Kim Văn Phạm,phòng R&D,COQA9R,đèn LED tròn,25
2024-10-16,Chị Ánh Hoàng,phòng R&D,T0GVAH,đèn bàn học,66
2024-12-09,Cô Lan Vũ,phòng kinh doanh,TM4VX8,đèn LED tròn,5
2024-12-01,Nhật Hoàng,phòng R&D,VL575,đèn cảm ứng,60
2024-05-24,Hưng Nguyễn,phòng R&D,PB2KZ,đèn LED tròn,76
2024-06-14,Hải Mai Vũ,phòng kỹ thuật,KJEIF,đèn LED tròn,9
2025-01-12,Mai Mai,phòng kinh doanh,EALM58,đèn LED âm trần,85
2024-07-24,Lâm Mai,phòng R&D,ZDG5Z,đèn LED âm trần,27
2024-03-17,Chị Kim Đặng,phòng nhân sự,77U1V,đèn LED tròn,51
2024-02-25,Trung Quang Nguyễn,phòng R&D,WHHE8,đèn LED tròn,94
2024-02-03,Quý cô Xuân Nguyễn,phòng kỹ thuật,38P6B5,đèn LED âm trần,71
2024-02-18,Quý cô Linh Vũ,phòng kỹ thuật,VXIKX1,đèn LED tròn,62
2024-05-16,Hạnh Đặng,phòng nhân sự,3O6OM,đèn cảm ứng,39
2024-10-10,Chị Thảo Đặng,phòng kinh doanh,1QTUD,đèn LED tròn,85
2025-03-06,Chi Dương,phòng nhân sự,TOQUO,đèn LED âm trần,19
