Date,Employee_Name,unit_code,product_name,Số lượng xuất,province
2024-05-18,Bảo Thế Nguyễn,công ty TNHH Một Thành Viên 123,đèn LED tròn,4,Hà Nội
2024-05-19,Cô Nhật Mai,công ty TNHH ABC,đèn bàn học,2,Cần Thơ
2024-03-19,Quang Bảo Dương,công ty TNHH ABC,đèn LED tròn,19,Cần Thơ
2024-08-12,Tùng Trí Trần,công ty TNHH Một Thành Viên 123,đèn LED tròn,77,Cần Thơ
2024-01-15,Hưng Văn Hoàng,công ty TNHH Một Thành Viên 123,đèn LED âm trần,30,Hà Nội
2024-05-07,Phúc Hoàng,công ty cổ phần XYZ,đèn cảm ứng,66,Hà Nội
2025-02-14,Tùng Lê,công ty TNHH Một Thành Viên 123,đèn bàn học,35,Cần Thơ
2024-06-26,Anh Huy Trần,công ty TNHH ABC,đèn bàn học,7,Hà Nội
2024-07-15,Chị Nhật Trần,công ty TNHH Một Thành Viên 123,đèn LED âm trần,14,Cần Thơ
2024-01-11,Tú Mai Bảo Bùi,công ty TNHH ABC,đèn LED âm trần,95,Đà Nẵng
2024-02-20,Kim Hoàng,công ty cổ phần XYZ,đèn LED tròn,50,Đà Nẵng
2024-08-05,Phúc Quang Phạm,công ty TNHH ABC,đèn cảm ứng,62,Hà Nội
2024-12-27,Khoa Hoàng Đặng,công ty TNHH Một Thành Viên 123,đèn LED âm trần,1,TP Hồ Chí Minh
2025-02-17,Ông Trung Đặng,công ty cổ phần XYZ,đèn LED tròn,98,TP Hồ Chí Minh
2024-07-25,Anh Minh Vũ,công ty cổ phần XYZ,đèn LED âm trần,42,Hà Nội
2024-10-09,Dũng Tấn Phạm,công ty TNHH ABC,đèn LED âm trần,84,Đà Nẵng
2025-02-06,Hà Hải Đặng,công ty TNHH Một Thành Viên 123,đèn cảm ứng,28,Cần Thơ
2024-12-22,Nhật Phạm,công ty TNHH ABC,đèn LED tròn,51,Hà Nội
2024-05-04,Ông Hưng Hoàng,công ty TNHH ABC,đèn LED âm trần,40,TP Hồ Chí Minh
2024-05-03,Trọng Quang Lê,công ty cổ phần XYZ,đèn LED âm trần,4,Đà Nẵng
2025-01-21,Trung Vũ,công ty cổ phần XYZ,đèn bàn học,58,Đà Nẵng
2024-04-19,Bà Thành Nguyễn,công ty cổ phần XYZ,đèn LED âm trần,1,Đà Nẵng
2024-10-08,Ông Minh Vũ,công ty TNHH ABC,đèn LED tròn,72,Hà Nội
2024-11-26,Quang Bùi,công ty TNHH Một Thành Viên 123,đèn LED tròn,59,Hà Nội
2024-06-10,Trung Hoàng Vũ,công ty TNHH Một Thành Viên 123,đèn bàn học,23,Cần Thơ
2024-11-07,Anh Châu Đặng,công ty cổ phần XYZ,đèn LED âm trần,38,Đà Nẵng
2024-11-11,Quý cô Hải Mai,công ty TNHH ABC,đèn LED âm trần,32,Hà Nội
2024-09-21,Ngọc Dương,công ty TNHH Một Thành Viên 123,đèn cảm ứng,50,Hà Nội
2024-09-01,Anh Khoa Đặng,công ty cổ phần XYZ,đèn cảm ứng,91,Đà Nẵng
2024-02-14,Anh Nam Dương,công ty TNHH ABC,đèn bàn học,73,Đà Nẵng
2024-06-29,Quý cô Nhật Dương,công ty TNHH ABC,đèn cảm ứng,98,Đà Nẵng
2024-07-15,Tùng Bùi,công ty TNHH ABC,đèn bàn học,76,Hà Nội
2024-05-27,Quý ông Khoa Bùi,công ty cổ phần XYZ,đèn cảm ứng,16,Cần Thơ
2024-11-01,Nam Phú Vũ,công ty TNHH ABC,đèn cảm ứng,77,Hà Nội
2025-02-08,Nhật Đặng,công ty TNHH ABC,đèn LED âm trần,69,Đà Nẵng
2025-02-17,Minh Dương,công ty cổ phần XYZ,đèn LED tròn,96,TP Hồ Chí Minh
2024-04-27,Vân Trần,công ty TNHH ABC,đèn cảm ứng,18,Cần Thơ
2024-09-04,Kim Văn Phạm,công ty cổ phần XYZ,đèn LED tròn,85,Cần Thơ
2024-10-16,Chị Ánh Hoàng,công ty TNHH Một Thành Viên 123,đèn bàn học,94,Hà Nội
2024-12-09,Cô Lan Vũ,công ty TNHH Một Thành Viên 123,đèn LED tròn,67,TP Hồ Chí Minh
2024-12-01,Nhật Hoàng,công ty cổ phần XYZ,đèn cảm ứng,44,TP Hồ Chí Minh
2024-05-24,Hưng Nguyễn,công ty cổ phần XYZ,đèn LED tròn,99,Đà Nẵng
2024-06-14,Hải Mai Vũ,công ty cổ phần XYZ,đèn LED tròn,35,TP Hồ Chí Minh
2025-01-12,Mai Mai,công ty TNHH ABC,đèn LED âm trần,23,TP Hồ Chí Minh
2024-07-24,Lâm Mai,công ty TNHH Một Thành Viên 123,đèn LED âm trần,100,Cần Thơ
2024-03-17,Chị Kim Đặng,công ty TNHH ABC,đèn LED tròn,1,Cần Thơ
2024-02-25,Trung Quang Nguyễn,công ty TNHH Một Thành Viên 123,đèn LED tròn,58,Cần Thơ
2024-02-03,Quý cô Xuân Nguyễn,công ty cổ phần XYZ,đèn LED âm trần,9,TP Hồ Chí Minh
2024-02-18,Quý cô Linh Vũ,công ty cổ phần XYZ,đèn LED tròn,39,TP Hồ Chí Minh
2024-05-16,Hạnh Đặng,công ty TNHH ABC,đèn cảm ứng,43,Đà Nẵng
2024-10-10,Chị Thảo Đặng,công ty TNHH ABC,đèn LED tròn,71,Đà Nẵng
2025-03-06,Chi Dương,công ty cổ phần XYZ,đèn LED âm trần,83,Cần Thơ
2024-01-26,Quý ông Quang Dương,công ty TNHH ABC,đèn LED tròn,47,Đà Nẵng
2024-12-18,Bác Minh Lê,công ty TNHH Một Thành Viên 123,đèn cảm ứng,28,Hà Nội
2025-03-14,Phương Hoàng,công ty TNHH Một Thành Viên 123,đèn bàn học,94,Hà Nội
2025-01-06,Hoàng Hoàng,công ty TNHH ABC,đèn LED tròn,85,Hà Nội
2024-11-23,Phương Mai Dương,công ty TNHH ABC,đèn bàn học,8,Cần Thơ
2024-01-21,Chị Lâm Phạm,công ty TNHH Một Thành Viên 123,đèn LED tròn,10,Hà Nội
2024-02-06,Lâm Lê,công ty TNHH Một Thành Viên 123,đèn LED tròn,3,Đà Nẵng
2024-05-18,Huy Bùi,công ty cổ phần XYZ,đèn bàn học,96,TP Hồ Chí Minh
2025-01-07,Chị Hồng Nguyễn,công ty TNHH ABC,đèn LED âm trần,40,Hà Nội
2024-11-16,Chị Mai Phạm,công ty cổ phần XYZ,đèn LED tròn,11,Hà Nội
2024-08-24,Chị Hải Phạm,công ty TNHH Một Thành Viên 123,đèn bàn học,63,Đà Nẵng
2024-08-06,Anh Nhiên Phạm,công ty TNHH ABC,đèn LED tròn,23,TP Hồ Chí Minh
2024-11-24,Nhật Hoàng,công ty cổ phần XYZ,đèn bàn học,97,TP Hồ Chí Minh
2024-08-30,Thành Lê,công ty cổ phần XYZ,đèn cảm ứng,62,Hà Nội
2024-02-15,Khoa Lê,công ty TNHH Một Thành Viên 123,đèn cảm ứng,91,Cần Thơ
2024-06-25,An Thị Mai,công ty TNHH Một Thành Viên 123,đèn LED âm trần,43,Hà Nội
2024-11-25,Chị Hải Lê,công ty TNHH ABC,đèn LED âm trần,84,Đà Nẵng
2024-06-07,Bà Hạnh Hoàng,công ty TNHH Một Thành Viên 123,đèn LED tròn,15,Hà Nội
2024-12-08,Quý cô Hải Mai,công ty TNHH Một Thành Viên 123,đèn bàn học,79,TP Hồ Chí Minh
2024-10-29,Bác Huy Hoàng,công ty cổ phần XYZ,đèn LED tròn,46,Cần Thơ
2025-02-15,Mai Đặng,công ty cổ phần XYZ,đèn bàn học,12,Hà Nội
2024-03-01,Anh Phú Mai,công ty cổ phần XYZ,đèn LED tròn,85,TP Hồ Chí Minh
2024-01-21,Cô Bảo Trần,công ty TNHH Một Thành Viên 123,đèn cảm ứng,70,TP Hồ Chí Minh
2025-03-31,Chị Chi Nguyễn,công ty TNHH Một Thành Viên 123,đèn LED âm trần,15,Đà Nẵng
2024-05-18,Hà Xuân Hoàng,công ty TNHH ABC,đèn LED âm trần,8,Đà Nẵng
2024-02-22,Nam Hoàng,công ty cổ phần XYZ,đèn bàn học,56,Cần Thơ
2024-10-03,Phương Hữu Hoàng,công ty TNHH ABC,đèn cảm ứng,65,Cần Thơ
2024-01-06,Nhật Thị Bùi,công ty TNHH ABC,đèn LED âm trần,56,Cần Thơ
2024-06-21,Cô Lâm Hoàng,công ty cổ phần XYZ,đèn bàn học,78,Cần Thơ
2024-12-02,Dũng Mai Bảo Nguyễn,công ty TNHH ABC,đèn LED tròn,8,Hà Nội
2024-09-10,Khoa Mai Phạm,công ty cổ phần XYZ,đèn bàn học,34,TP Hồ Chí Minh
2024-10-01,Nam Quang Đặng,công ty cổ phần XYZ,đèn cảm ứng,69,Cần Thơ
2025-01-15,Cô Lâm Trần,công ty TNHH ABC,đèn LED tròn,90,Cần Thơ
2025-03-27,Hưng Lê,công ty TNHH Một Thành Viên 123,đèn cảm ứng,56,Hà Nội
2025-02-06,Bác Nam Hoàng,công ty cổ phần XYZ,đèn LED tròn,18,Đà Nẵng
2024-01-27,Khoa Bảo Phạm,công ty cổ phần XYZ,đèn bàn học,68,Cần Thơ
2025-01-30,Bác Hoàng Trần,công ty TNHH Một Thành Viên 123,đèn bàn học,96,Cần Thơ
2024-12-09,Chị An Mai,công ty cổ phần XYZ,đèn LED âm trần,43,Hà Nội
2025-02-21,Hạnh Thế Vũ,công ty TNHH ABC,đèn cảm ứng,5,Cần Thơ
2024-09-15,Hải Lê,công ty TNHH Một Thành Viên 123,đèn cảm ứng,30,TP Hồ Chí Minh
2025-04-08,Quý cô Chi Dương,công ty cổ phần XYZ,đèn LED tròn,65,Hà Nội
2025-01-06,Tú Vũ,công ty TNHH ABC,đèn bàn học,87,Cần Thơ
2024-02-15,Huy Nguyễn,công ty TNHH Một Thành Viên 123,đèn cảm ứng,100,Cần Thơ
2024-05-10,Phương Hoàng,công ty TNHH ABC,đèn bàn học,92,Cần Thơ
2024-04-29,Dũng Hoàng,công ty TNHH ABC,đèn LED tròn,28,Đà Nẵng
2024-03-02,Quý cô Xuân Lê,công ty TNHH Một Thành Viên 123,đèn bàn học,41,Cần Thơ
2024-05-12,Yến Trần,công ty cổ phần XYZ,đèn LED âm trần,7,Hà Nội
2024-02-08,Linh Vũ,công ty TNHH ABC,đèn LED tròn,31,Cần Thơ
2024-03-20,Khoa Vũ,công ty cổ phần XYZ,đèn bàn học,49,TP Hồ Chí Minh
2024-03-30,An Văn Nguyễn,công ty TNHH Một Thành Viên 123,đèn cảm ứng,41,TP Hồ Chí Minh
2024-10-23,Bà Yến Bùi,công ty cổ phần XYZ,đèn cảm ứng,71,Hà Nội
2024-02-20,Ông Quang Nguyễn,công ty TNHH Một Thành Viên 123,đèn LED tròn,42,Đà Nẵng
2024-06-06,Hạnh Thị Dương,công ty TNHH ABC,đèn bàn học,24,Đà Nẵng
2024-04-20,Duyên Mai,công ty TNHH Một Thành Viên 123,đèn LED âm trần,1,Đà Nẵng
2024-02-20,Lâm Hoàng Nguyễn,công ty TNHH Một Thành Viên 123,đèn LED tròn,43,TP Hồ Chí Minh
2024-04-16,Trung Lê,công ty TNHH ABC,đèn LED tròn,63,Đà Nẵng
2024-11-03,Vi Trần,công ty TNHH Một Thành Viên 123,đèn LED âm trần,27,Đà Nẵng
2024-04-17,Yến Vũ,công ty cổ phần XYZ,đèn LED tròn,96,Cần Thơ
2024-05-01,Chị Hồng Lê,công ty cổ phần XYZ,đèn LED âm trần,45,TP Hồ Chí Minh
2024-11-20,Thảo Mai,công ty cổ phần XYZ,đèn bàn học,55,Đà Nẵng
2024-08-28,Thành Đức Mai,công ty cổ phần XYZ,đèn bàn học,99,Hà Nội
2024-06-24,Cô Linh Hoàng,công ty TNHH ABC,đèn LED âm trần,49,Cần Thơ
2024-04-13,Yến Bùi,công ty cổ phần XYZ,đèn bàn học,86,Cần Thơ
2025-03-05,Bác Dũng Bùi,công ty TNHH ABC,đèn LED tròn,12,Đà Nẵng
2024-06-28,Anh Khoa Lê,công ty TNHH Một Thành Viên 123,đèn bàn học,49,Hà Nội
2024-09-01,Nhật Vũ,công ty TNHH ABC,đèn LED tròn,50,Đà Nẵng
2025-02-14,Anh Mai,công ty TNHH ABC,đèn LED âm trần,43,TP Hồ Chí Minh
2024-02-21,Hà Thị Trần,công ty cổ phần XYZ,đèn cảm ứng,64,Đà Nẵng
2024-03-12,Quý cô Nhật Mai,công ty TNHH ABC,đèn cảm ứng,14,Cần Thơ
2024-03-30,Quang Đức Hoàng,công ty TNHH Một Thành Viên 123,đèn bàn học,51,Đà Nẵng
2024-05-16,Vân Bùi,công ty TNHH ABC,đèn LED âm trần,46,Cần Thơ
2025-04-03,Quý ông Phúc Bùi,công ty TNHH ABC,đèn LED âm trần,5,Hà Nội
2024-06-10,Quang Quang Nguyễn,công ty TNHH Một Thành Viên 123,đèn LED tròn,54,TP Hồ Chí Minh
2024-12-21,Hạnh Mai,công ty cổ phần XYZ,đèn LED âm trần,14,Hà Nội
2024-09-15,Anh Bùi,công ty TNHH Một Thành Viên 123,đèn LED tròn,77,Cần Thơ
2025-01-18,Dương Vũ,công ty TNHH ABC,đèn bàn học,60,Hà Nội
2024-11-01,Chị Dương Nguyễn,công ty TNHH Một Thành Viên 123,đèn bàn học,32,Hà Nội
2024-08-20,Ông Bảo Phạm,công ty cổ phần XYZ,đèn cảm ứng,11,Đà Nẵng
2024-10-20,Anh Trung Phạm,công ty cổ phần XYZ,đèn cảm ứng,70,Hà Nội
2025-02-18,Dương Nguyễn,công ty TNHH Một Thành Viên 123,đèn LED âm trần,93,Hà Nội
2024-06-27,Hải Vũ,công ty TNHH Một Thành Viên 123,đèn bàn học,51,Đà Nẵng
2024-04-12,Dũng Lê,công ty TNHH Một Thành Viên 123,đèn LED tròn,18,Hà Nội
2025-01-11,Lâm Phú Lê,công ty cổ phần XYZ,đèn LED âm trần,3,TP Hồ Chí Minh
2025-03-12,Trọng Thị Mai,công ty cổ phần XYZ,đèn cảm ứng,84,Hà Nội
2024-11-10,Hải Vũ,công ty cổ phần XYZ,đèn LED âm trần,30,Hà Nội
2024-05-28,Quý cô Vân Nguyễn,công ty cổ phần XYZ,đèn LED tròn,69,Cần Thơ
2025-03-12,An Dương,công ty TNHH Một Thành Viên 123,đèn LED tròn,97,Đà Nẵng
2024-07-20,Minh Thế Phạm,công ty TNHH ABC,đèn LED tròn,32,TP Hồ Chí Minh
2025-02-10,Vân Hoàng,công ty TNHH Một Thành Viên 123,đèn LED tròn,13,Hà Nội
2024-05-19,Trung Phạm,công ty cổ phần XYZ,đèn cảm ứng,85,TP Hồ Chí Minh
2024-06-29,Trọng Văn Mai,công ty TNHH Một Thành Viên 123,đèn bàn học,85,TP Hồ Chí Minh
2025-04-08,Chị Nhật Trần,công ty TNHH Một Thành Viên 123,đèn LED âm trần,90,Cần Thơ
2024-01-23,Kim Dương,công ty TNHH ABC,đèn LED âm trần,88,Hà Nội
2024-05-08,Khoa Mai,công ty TNHH ABC,đèn bàn học,5,Đà Nẵng
2024-10-21,Kim Lê,công ty TNHH Một Thành Viên 123,đèn cảm ứng,84,Đà Nẵng
2024-07-17,Chị Hải Nguyễn,công ty cổ phần XYZ,đèn LED âm trần,27,Cần Thơ
2024-11-22,Bà Hà Mai,công ty TNHH ABC,đèn LED tròn,60,Hà Nội
2025-02-09,Ông Trung Lê,công ty TNHH ABC,đèn LED âm trần,18,Đà Nẵng
2024-10-08,Bảo Đức Dương,công ty TNHH ABC,đèn bàn học,46,Đà Nẵng
2024-09-09,Bà Vi Dương,công ty TNHH Một Thành Viên 123,đèn bàn học,73,Cần Thơ
2024-10-25,Ông Huy Nguyễn,công ty TNHH Một Thành Viên 123,đèn LED tròn,28,Cần Thơ
2025-01-26,Thành Đặng,công ty TNHH ABC,đèn cảm ứng,85,Đà Nẵng
2024-08-31,Anh Trần,công ty TNHH Một Thành Viên 123,đèn bàn học,81,Cần Thơ
2024-11-28,Chị Bảo Bùi,công ty TNHH Một Thành Viên 123,đèn bàn học,30,Đà Nẵng
2024-07-07,Bác Châu Đặng,công ty TNHH ABC,đèn cảm ứng,34,Hà Nội
2024-03-05,Nhật Dương,công ty cổ phần XYZ,đèn LED tròn,71,Hà Nội
2024-08-16,Quý cô Lan Dương,công ty TNHH Một Thành Viên 123,đèn cảm ứng,66,Cần Thơ
2024-05-05,Yến Nguyễn,công ty TNHH Một Thành Viên 123,đèn bàn học,35,Hà Nội
2024-07-02,Anh Trần,công ty TNHH ABC,đèn cảm ứng,53,Đà Nẵng
2024-06-17,Tùng Dương,công ty TNHH ABC,đèn LED âm trần,3,TP Hồ Chí Minh
2024-05-25,Kim Lê,công ty cổ phần XYZ,đèn cảm ứng,67,Hà Nội
2025-03-04,Quý ông Hoàng Nguyễn,công ty TNHH Một Thành Viên 123,đèn cảm ứng,95,TP Hồ Chí Minh
2024-09-29,Quý cô Xuân Trần,công ty cổ phần XYZ,đèn LED tròn,81,TP Hồ Chí Minh
2025-02-10,Bà Nhật Bùi,công ty cổ phần XYZ,đèn LED tròn,57,Đà Nẵng
2024-08-28,Ông Dũng Phạm,công ty TNHH Một Thành Viên 123,đèn LED âm trần,37,Cần Thơ
2024-12-20,Hương Vũ,công ty TNHH Một Thành Viên 123,đèn LED tròn,28,Đà Nẵng
2024-11-11,Chị An Bùi,công ty TNHH ABC,đèn cảm ứng,74,Hà Nội
2024-04-04,Bảo Đặng,công ty TNHH ABC,đèn bàn học,71,Đà Nẵng
2024-07-03,Hạnh Bảo Hoàng,công ty TNHH Một Thành Viên 123,đèn bàn học,21,TP Hồ Chí Minh
2024-01-17,Cô Duyên Dương,công ty TNHH Một Thành Viên 123,đèn LED tròn,7,Hà Nội
2024-11-30,Hương Hoàng,công ty TNHH ABC,đèn cảm ứng,17,Cần Thơ
2024-02-18,Bà Vi Lê,công ty TNHH Một Thành Viên 123,đèn LED âm trần,57,TP Hồ Chí Minh
2025-02-17,Khoa Phạm,công ty cổ phần XYZ,đèn LED âm trần,8,Đà Nẵng
2025-02-10,Dũng Thế Lê,công ty TNHH ABC,đèn LED âm trần,27,Cần Thơ
2024-10-01,Trung Đức Mai,công ty TNHH ABC,đèn cảm ứng,7,Hà Nội
2024-07-07,Quý cô Ánh Lê,công ty cổ phần XYZ,đèn LED tròn,90,Hà Nội
2024-04-14,Huy Dương,công ty TNHH Một Thành Viên 123,đèn LED tròn,71,Hà Nội
2024-09-12,Bác Dũng Đặng,công ty cổ phần XYZ,đèn LED âm trần,30,Hà Nội
2024-09-26,Vi Nguyễn,công ty cổ phần XYZ,đèn bàn học,74,Hà Nội
2024-01-27,Dương Hoàng,công ty cổ phần XYZ,đèn LED âm trần,36,TP Hồ Chí Minh
2024-07-26,Nhiên Hoàng,công ty TNHH ABC,đèn cảm ứng,74,Hà Nội
2024-02-13,Quý ông Trung Lê,công ty TNHH ABC,đèn bàn học,75,Cần Thơ
2024-01-23,Bà Khoa Mai,công ty cổ phần XYZ,đèn cảm ứng,94,Đà Nẵng
2024-03-07,Quý ông Anh Đặng,công ty TNHH Một Thành Viên 123,đèn LED tròn,85,Đà Nẵng
2024-11-12,Khoa Đức Đặng,công ty TNHH ABC,đèn cảm ứng,94,Hà Nội
2024-10-08,Chị Phương Bùi,công ty TNHH ABC,đèn cảm ứng,85,Hà Nội
2025-02-16,Chị Thành Hoàng,công ty TNHH ABC,đèn bàn học,100,Hà Nội
2024-09-29,Ông Huy Hoàng,công ty TNHH Một Thành Viên 123,đèn bàn học,12,Hà Nội
2025-02-07,Chị Kim Nguyễn,công ty TNHH ABC,đèn LED tròn,48,Hà Nội
2024-08-07,Bảo Thị Bùi,công ty cổ phần XYZ,đèn bàn học,37,TP Hồ Chí Minh
2024-10-17,Dương Bùi,công ty TNHH Một Thành Viên 123,đèn bàn học,3,TP Hồ Chí Minh
2024-11-11,An Thế Lê,công ty TNHH ABC,đèn LED tròn,66,TP Hồ Chí Minh
2024-04-15,Dũng Thị Mai,công ty cổ phần XYZ,đèn LED tròn,60,Đà Nẵng
2024-04-26,Hạnh Hải Trần,công ty TNHH ABC,đèn LED âm trần,73,Đà Nẵng
2024-05-15,Huy Hải Lê,công ty TNHH Một Thành Viên 123,đèn LED âm trần,13,Đà Nẵng
2025-01-05,Vũ Hoàng,công ty cổ phần XYZ,đèn cảm ứng,46,Hà Nội
2024-05-14,Hoàng Đặng,công ty TNHH Một Thành Viên 123,đèn cảm ứng,7,TP Hồ Chí Minh
2024-01-26,Bác Nam Nguyễn,công ty cổ phần XYZ,đèn LED âm trần,76,Cần Thơ
2025-03-03,Minh Thị Hoàng,công ty cổ phần XYZ,đèn bàn học,94,TP Hồ Chí Minh
